Rnom,Xnom,Ynom,Znom,R,X,Y,Z,Nx,Ny,Nz,I,J,K,LateralDensity,DirectionDensity,ExposureTime,oriX,oriY,oriZ,Inc,ang,ViewAng,Acmos,AcmosJ,oriYcmos,Rs,PointDev
8.0013,4.130926817506627,2.6078242551652457,6.336836590332466,7.958209558368013,4.10868,2.59378,6.30271,0.5127442414081714,0.3244163447095619,0.7948882803187158,8.14835e-05,0.00122949,0.999999,100,10,0.6,0.512663,0.323187,-0.205111,0.7953283238378167,0.6512471726522688,0.8560345124782319,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.1766480157188802,83.66316340966753,-0.0430904416319872
8.0013,-2.9059994852597177,3.2216652373034558,6.722859643070107,7.973272081956065,-2.89582,3.21038,6.69931,-0.3637185304000404,0.3964808058645801,0.8429186207603959,8.14835e-05,0.00122949,0.999999,100,10,0.6,-0.3638,0.395251,-0.15708,0.8433758131018053,5.715924021503172,0.931195079599962,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.104583554563862,83.27714035692989,-0.0280279180439357
8.0013,-1.8228528035134517,-4.870302557896041,6.080967220868275,7.977014100081559,-1.81732,-4.85552,6.06251,-0.2235788215639751,-0.5983890478626187,0.7693783581217584,8.14835e-05,0.00122949,0.999999,100,10,0.6,-0.22366,-0.599619,-0.230621,0.7686238425364071,0.694109457530575,0.4197800246801441,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-1.099453408291061,83.91903277913173,-0.0242858999184418
8.0013,-0.622808972403958,7.116408105326083,3.604115196874589,7.967987779054132,-0.620216,7.08678,3.58911,-0.0835539335233832,0.8885967716132254,0.4510149860828613,8.14835e-05,0.00122949,0.999999,100,10,0.6,-0.083635,0.887367,-0.548984,0.4521003565371624,1.1016777353667313,0.8012912723960111,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,0.3875324111847832,86.39588480312541,-0.0333122209458682
8.0013,5.840575716276943,-2.2015790867558285,5.0061488708582615,7.958563410873849,5.80938,-2.18982,4.97941,0.7266495486654022,-0.2672990037328092,0.6328757192591723,8.14835e-05,0.00122949,0.999999,100,10,0.6,0.726568,-0.268528,-0.367123,0.6326058072473377,0.8858831536100725,0.4461296862602353,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.7683633641612513,84.99385112914175,-0.042736589126151
8.0013,-4.891575394518293,0.8383616326332745,6.276180496342635,7.94804814202984,-4.85902,0.832782,6.23441,-0.6210718299302906,0.1019815118266637,0.7770904408835486,8.14835e-05,0.00122949,0.999999,100,10,0.6,-0.621153,0.100752,-0.222909,0.7771646291211073,0.6806492130049089,0.7403945681591464,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.3990828486017784,83.72381950365737,-0.0532518579701601
8.0013,4.66653005486981,0.8053895731198306,6.44946870466914,7.973437420631392,4.65028,0.802585,6.42701,0.5888283681331759,0.1163294134970455,0.799842872342471,8.14835e-05,0.00122949,0.999999,100,10,0.6,0.588747,0.1151,-0.200156,0.8000332708400824,0.6434452264197044,0.7672519330748194,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.3847349469313966,83.55053129533086,-0.027862579368608
8.0013,0.0566103460825262,6.505044279077734,4.658540102430638,7.983385722835203,0.0564836,6.49048,4.64811,0.0005812139770572,0.817036790708596,0.5765852450582747,8.14835e-05,0.00122949,0.999999,100,10,0.6,0.0005,0.815807,-0.423414,0.5775893935125886,5.328161264848864,0.8815059089517605,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,0.3159724302801538,85.34145989756937,-0.0179142771647971
8.0013,-4.527989369420138,-2.1651120403741926,6.231404642056631,7.965482489774238,-4.50772,-2.15542,6.20351,-0.5560517545586423,-0.2735009434638403,0.7848590193000553,8.14835e-05,0.00122949,0.999999,100,10,0.6,-0.556133,-0.27473,-0.21514,0.7844768476695904,0.6689444336931566,0.5791379961581712,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.7745653038922825,83.76859535794337,-0.0358175102257627
8.0013,3.23752478809401,-0.088475522576473,7.316516043745251,7.968813640864347,3.22438,-0.0881163,7.28681,0.4112106427679797,-0.0020058908240517,0.9115381416464956,8.14835e-05,0.00122949,0.999999,100,10,0.6,0.411129,-0.003235,-0.088461,0.9115684903256324,0.4237137369121462,0.8140884428709285,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.5030702512524938,82.68348395625475,-0.0324863591356532
