Rnom,Xnom,Ynom,Znom,R,X,Y,Z,Nx,Ny,Nz,I,J,K,LateralDensity,DirectionDensity,ExposureTime,oriX,oriY,oriZ,Inc,ang,ViewAng,Rs,PointDev
8.0013,1.291973924404248,-2.1772654331870127,7.590198963275499,7.98275838171869,1.28898,-2.17222,7.57261,0.1507597666493877,-0.2641685998726335,0.9526208288721986,8.14835e-05,0.00122949,-0.999999,100,10,0.6,0.150678,-0.265398,1.95262,2.83356241259427,2.833562023401168,-0.9700168510659756,82.4098010367245,-0.0185416182813105
8.0013,1.6149611428552717,4.401369648467333,6.483875956140597,7.987520870745817,1.61218,4.39379,6.47271,0.1854872849638234,0.5498931377940368,0.8143782930087083,8.14835e-05,0.00122949,-0.999999,100,10,0.6,0.185406,0.548664,1.814377,2.521262312284476,3.761922984556714,-0.4817397719389495,83.5161240438594,-0.0137791292541837
8.0013,6.301072530093078,0.5009334025956,4.905746873481185,7.986071508251101,6.28908,0.49998,4.89641,0.7874194517672134,0.0593166667306427,0.6135569574428986,8.14835e-05,0.00122949,-0.999999,100,10,0.6,0.787338,0.058087,1.613556,2.231179360563268,4.052005652535394,-0.5219184234928388,85.09425312651882,-0.0152284917488998
8.0013,-3.684752855641929,1.1340555072010892,7.0112278660321365,7.957799419600874,-3.66472,1.12789,6.97311,-0.4564270446387755,0.1452220870855921,0.8778296522360234,8.14835e-05,0.00122949,-0.999999,100,10,0.6,-0.456509,0.143993,1.877829,2.6418118475144223,2.641812074775425,-0.7197975109083707,82.98877213396787,-0.0435005803991268
8.0013,-3.237838264811705,6.5368784538205125,3.287312753739485,7.955290808047183,-3.21922,6.49929,3.26841,-0.4108175922835138,0.8153811793603624,0.407900034586026,8.14835e-05,0.00122949,-0.999999,100,10,0.6,-0.410899,0.814152,1.407899,1.9898877752904447,1.9898877345236936,0.0005590901111979,86.71268724626051,-0.0460091919528178
8.0013,4.488504381922812,1.4071371269371322,6.472564809212406,7.941895273081861,4.45518,1.39669,6.42451,0.566043739074365,0.1733892084916641,0.805934654815976,8.14835e-05,0.00122949,-0.999999,100,10,0.6,0.565962,0.17216,1.805934,2.5076099875894733,2.507610040622269,-0.6428274174468042,83.5274351907876,-0.0594047269181396
8.0013,-1.0014185541045093,-5.459673668902692,5.762805393086413,7.994919580014549,-1.00062,-5.45532,5.75821,-0.1295529353562253,-0.6724681924513515,0.7286992295054233,8.14835e-05,0.00122949,-0.999999,100,10,0.6,-0.129634,-0.673698,1.728698,2.388439649855836,3.8947456857234224,-0.952749085008314,84.23719460691359,-0.0063804199854518
8.0013,-2.5868143028161525,-1.8696472903304635,7.337139256038809,7.954920978903562,-2.57182,-1.85881,7.29461,-0.3297907822316859,-0.2251502982506432,0.9168126216150492,8.14835e-05,0.00122949,-0.999999,100,10,0.6,-0.329872,-0.22638,1.916812,2.7315795969586585,2.731579736441506,-0.9205584469199416,82.66286074396119,-0.0463790210964383
8.0013,4.75619265317339,-3.98828315426078,5.049062350312103,7.981091221919469,4.74418,-3.97821,5.03631,0.5926694628482854,-0.4958165253660093,0.6347510385821376,8.14835e-05,0.00122949,-0.999999,100,10,0.6,0.592588,-0.497046,1.63475,2.2592086169251937,2.259208619987999,-0.7895669208053562,84.9509376496879,-0.0202087780805317
8.0013,-3.101467820520103,2.9283497521521493,6.769524856099484,7.969960530448064,-3.08932,2.91688,6.74301,-0.4101908567683764,0.3635735686664624,0.8363956726279486,8.14835e-05,0.00122949,-0.999999,100,10,0.6,-0.410272,0.362344,1.836395,2.5607151797803622,2.5607150298695123,-0.5849342386452433,83.23047514390052,-0.031339469551936
