X,Y,Z,Nx,Ny,Nz,I,J,K,IncAngle,LateralDensity,DirectionDensity,ExposureTime,Rnom,PointDev
-4.67192,-2.26492,6.01381,-0.5869840752024428,-0.28224019428787306,0.7588083870036472,8.14835e-05,0.00122949,0.999999,0.7099216116244856,75,2,0.6,8.0,-0.05502612912414939
-5.40452,-2.26342,5.32391,-0.68348675105923,-0.2787481267803764,0.6746446049164919,8.14835e-05,0.00122949,0.999999,0.8308535110631304,75,2,0.6,8.0,-0.08318724391564292
-5.61042,-2.26291,5.17801,-0.7017366994310246,-0.2782464941269041,0.6558540181913491,8.14835e-05,0.00122949,0.999999,0.8560124092863963,75,2,0.6,8.0,-0.03700045180209788
-5.86042,-2.26242,4.91361,-0.7330346795409219,-0.2860262343959334,0.6171297690337262,8.14835e-05,0.00122949,0.999999,0.9062298808030357,75,2,0.6,8.0,-0.02462351578936417
-5.94562,-2.26232,4.80051,-0.7393306981813891,-0.2876514924755094,0.6088076359600229,8.14835e-05,0.00122949,0.999999,0.91676183428697,75,2,0.6,8.0,-0.030471455167501382
-6.15602,-2.26201,4.51811,-0.7692156473814682,-0.2788784260469896,0.57492096092338,8.14835e-05,0.00122949,0.999999,0.9587848930985073,75,2,0.6,8.0,-0.03591879419854216
-6.45752,-2.26152,4.08031,-0.8030397169858553,-0.28095165705612163,0.5255410348780549,8.14835e-05,0.00122949,0.999999,1.0179287288630892,75,2,0.6,8.0,-0.033635273419877265
-4.85502,-3.34411,5.35261,-0.6068389003328846,-0.41918565052279694,0.6752998885225399,8.14835e-05,0.00122949,0.999999,0.830191350995719,75,2,0.6,8.0,-0.03729162253194129
-5.72372,-3.34252,4.47071,-0.7138292173197702,-0.4009862273581942,0.5741584223624058,8.14835e-05,0.00122949,0.999999,0.9598940056829144,75,2,0.6,8.0,-0.004960382030618327
-5.76612,-3.34242,4.42491,-0.7202650134747819,-0.3960472403180192,0.5695304151673141,8.14835e-05,0.00122949,0.999999,0.9655260522715895,75,2,0.6,8.0,-1.626133527743434e-05
-5.15372,-2.02572,5.72061,-0.6446016056258491,-0.24847053546232925,0.7230153269686892,8.14835e-05,0.00122949,0.999999,0.7631580354135306,75,2,0.6,8.0,-0.03823197217477414
-4.85012,-3.16372,5.46021,-0.6085204504195504,-0.3982672546895987,0.6863570901966394,8.14835e-05,0.00122949,0.999999,0.8150701812983894,75,2,0.6,8.0,-0.04093714706938645
-6.46482,-2.44322,3.94781,-0.806932223907224,-0.2935257284133042,0.5125456397039986,8.14835e-05,0.00122949,0.999999,1.0331467302736241,75,2,0.6,8.0,-0.040827593468024226
-6.20442,-2.44362,4.31941,-0.7771289976598422,-0.3036710655050389,0.5512299021018756,8.14835e-05,0.00122949,0.999999,0.987482518223629,75,2,0.6,8.0,-0.05497583459307531
-4.73392,0.361682,6.40591,-0.5863361682703516,0.04718207168166108,0.8086926176798379,8.14835e-05,0.00122949,0.999999,0.628853830893408,75,2,0.6,8.0,-0.026512973383351124
-5.26202,0.36288,5.93891,-0.6626232201920292,0.04557521920848908,0.7475649586868314,8.14835e-05,0.00122949,0.999999,0.7264058214588481,75,2,0.6,8.0,-0.057003817015899294
-4.70912,-3.93982,5.06541,-0.5873433397669339,-0.49169828007708305,0.6428534845520106,8.14835e-05,0.00122949,0.999999,0.8734306672909188,75,2,0.6,8.0,-0.04032844428239013
